row,plant,mass,BER,fungus,cracking,penetrometer,sugar 1,sugar 2,sugar_avg,date_harvest,date_analysis
3,6,416.5,0,0,0,1.5,4.4,4.5,4.5,8/1/2024,8/5/2024
4,4,288.4,0,0,0,0.4,5.7,6.2,6,8/1/2024,8/5/2024
4,2,183.7,0,0,0,0.8,6.4,6.3,6.4,8/1/2024,8/5/2024
3,5,241.3,0,0,0,0.2,6.5,6.5,6.5,8/1/2024,8/5/2024
2,5,234.1,0,0,0,0.7,4.1,4.2,4.2,8/1/2024,8/5/2024
3,7,244.6,0,0,0,0.4,4.8,5,4.9,8/1/2024,8/5/2024
4,1,326.9,0,0,0,1.1,5.6,5.7,5.7,8/1/2024,8/5/2024
2,10,186.2,1,1,0,,,,,8/1/2024,8/5/2024
3,8,186.2,0,0,0,1.1,5,5.3,5.2,8/1/2024,8/5/2024
2,2,251.8,0,0,0,0.8,5.1,5,5.1,8/1/2024,8/5/2024
1,7,286,0,0,0,1.1,5.6,5.5,5.6,8/1/2024,8/5/2024
2,8,310.9,0,0,0,0.8,5.3,5.3,5.3,8/1/2024,8/5/2024
2,2,236.4,0,0,0,1,5.2,5.1,5.2,8/1/2024,8/5/2024
2,2,177.3,0,0,0,0.4,6,5.8,5.9,8/1/2024,8/5/2024
2,6,80.5,1,1,0,,,,,8/1/2024,8/5/2024
2,10,80.5,1,1,0,,,,,8/1/2024,8/5/2024
1,2,100.3,1,1,0,,,,,8/1/2024,8/5/2024
1,9,46.2,1,1,0,,,,,8/1/2024,8/5/2024
1,4,103,1,1,0,,,,,8/1/2024,8/5/2024
1,9,106.7,1,1,0,,,,,8/1/2024,8/5/2024
2,5,263.8,0,0,0,1,4.6,4.4,4.5,8/9/2024,8/12/2024
1,5,170.8,0,0,0,1,4.8,4.7,4.8,8/9/2024,8/12/2024
4,3,224.2,0,0,0,0.2,5.2,5.5,5.4,8/9/2024,8/12/2024
3,11,27.7,1,1,0,,,,,8/9/2024,8/12/2024
4,4,161.6,1,1,0,,,,,8/9/2024,8/12/2024
3,11,16.9,1,1,0,,,,,8/9/2024,8/12/2024
2,7,223.2,0,0,0,0.8,5.5,5.7,5.6,8/9/2024,8/12/2024
3,3,339.1,0,0,0,0.9,4.3,4.2,4.3,8/9/2024,8/12/2024
4,2,216.8,0,0,0,0.8,6.4,6.6,6.5,8/9/2024,8/12/2024
3,4,282,0,0,0,0.9,6.3,6.3,6.3,8/9/2024,8/12/2024
3,4,327,0,1,1,0.8,5.8,5.7,5.8,8/9/2024,8/12/2024
4,1,334,0,0,0,1.1,5.7,5.7,5.7,8/9/2024,8/12/2024
4,1,344.3,0,0,1,1.3,5.6,5.6,5.6,8/9/2024,8/12/2024
2,7,68.6,0,0,0,1,4.8,4.6,4.7,8/9/2024,8/12/2024
4,1,212.7,0,0,1,0.8,6,6,6,8/9/2024,8/12/2024
1,6,203.9,1,1,0,,,,,8/9/2024,8/12/2024
2,4,114.3,1,1,0,,,,,8/9/2024,8/12/2024
1,12,111.8,1,1,0,,,,,8/9/2024,8/12/2024
1,7,104.4,1,1,0,,,,,8/9/2024,8/12/2024
2,4,271.6,0,0,0,0.8,6,6.2,6.1,8/9/2024,8/12/2024
2,5,195.5,0,0,0,0.8,5.1,5.1,5.1,8/9/2024,8/12/2024
2,5,249.3,0,0,0,1,4.6,4.5,4.6,8/9/2024,8/12/2024
4,11,101.9,1,1,0,,,,,8/9/2024,8/12/2024
3,12,160.6,1,1,0,,,,,8/9/2024,8/12/2024
2,1,219.9,1,1,0,,,,,8/9/2024,8/12/2024
3,2,117.6,1,1,0,,,,,8/9/2024,8/12/2024
3,5,297.9,1,1,0,,,,,8/9/2024,8/12/2024
1,5,108.9,1,0,0,,,,,8/9/2024,8/12/2024
4,12,329.7,1,0,0,,,,,8/9/2024,8/12/2024
1,5,131.1,1,0,0,,,,,8/9/2024,8/12/2024
3,7,159.3,0,0,0,0.9,5.6,5.4,5.5,8/9/2024,8/14/2024
1,8,147.9,0,0,1,1.1,5.9,5.9,5.9,8/9/2024,8/14/2024
3,7,232.2,0,0,0,0.8,5.9,6,6,8/9/2024,8/14/2024
2,9,331.5,0,0,1,1.3,5.5,5.3,5.4,8/9/2024,8/14/2024
2,11,185.3,0,0,0,1,6.9,6.9,6.9,8/9/2024,8/14/2024
1,6,195.3,0,0,0,1.2,6.4,6.5,6.5,8/9/2024,8/14/2024
2,10,152,0,0,0,1.1,7.2,7.3,7.3,8/9/2024,8/14/2024
3,5,333.7,0,0,1,1,7.2,7.4,7.3,8/9/2024,8/14/2024
4,4,349.4,0,0,1,1,6.3,6.3,6.3,8/9/2024,8/14/2024
2,9,245,0,0,0,1.2,6.2,6.5,6.4,8/9/2024,8/14/2024
3,8,118.1,0,0,0,1.6,7.4,7.5,7.5,8/9/2024,8/14/2024
2,10,280.9,0,0,1,1,6.9,6.6,6.8,8/9/2024,8/14/2024
1,7,222,0,0,0,1,6.3,6.2,6.3,8/9/2024,8/14/2024
1,10,112.5,0,0,0,0.3,7,7.4,7.2,8/9/2024,8/14/2024
2,2,238.6,0,0,0,1.2,5.5,4.9,5.2,8/9/2024,8/14/2024
1,6,149.6,0,0,0,0.8,6,6,6,8/9/2024,8/14/2024
1,6,146.5,0,0,0,1,6.5,5.7,6.1,8/9/2024,8/14/2024
1,3,107.6,0,0,1,1,6,6.1,6.1,8/9/2024,8/14/2024
1,6,148.9,0,0,0,1.3,6.1,6,6.1,8/9/2024,8/14/2024
1,1,355.7,0,0,0,0.2,5.6,6.2,5.9,8/9/2024,8/14/2024
1,5,138.1,0,0,0,1,6.5,6.3,6.4,8/9/2024,8/14/2024
1,9,230,0,0,0,1,6.6,6.8,6.7,8/9/2024,8/14/2024
1,7,228.3,0,0,0,1,7.2,7,7.1,8/9/2024,8/14/2024
4,9,329.2,0,0,0,0.8,6.3,6.4,6.4,8/9/2024,8/14/2024
2,9,178.4,0,0,0,1.2,6.8,6.6,6.7,8/9/2024,8/14/2024
2,1,264.8,0,0,0,0.5,5.6,5.4,5.5,8/9/2024,8/14/2024
4,9,325.1,0,0,0,0.8,6.9,6.7,6.8,8/9/2024,8/14/2024
1,1,300.8,0,0,0,0.4,6.1,6.1,6.1,8/9/2024,8/14/2024
1,11,255.5,0,0,1,1,5.9,6,6,8/9/2024,8/14/2024
1,6,252.9,0,0,0,0.7,6.3,6.3,6.3,8/9/2024,8/14/2024
2,2,197.2,0,0,0,0.5,5.5,5.3,5.4,8/9/2024,8/14/2024
1,8,250.2,0,0,0,1.3,5.8,5.3,5.6,8/9/2024,8/14/2024
2,9,311.5,0,0,0,0.8,6.4,6.2,6.3,8/9/2024,8/14/2024
2,11,215.1,0,0,0,0.9,7.1,6.8,7,8/9/2024,8/14/2024
4,1,256.3,0,0,0,1.2,6.5,6.3,6.4,8/13/2024,8/14/2024
4,11,159.5,0,0,0,0.9,6.5,6.5,6.5,8/13/2024,8/14/2024
2,4,323.8,0,0,0,1.1,6.9,6.8,6.9,8/13/2024,8/14/2024
3,4,250.2,0,0,0,1,6.6,6.6,6.6,8/13/2024,8/14/2024
3,3,280.3,0,0,0,0.8,6.3,6.3,6.3,8/13/2024,8/14/2024
3,4,195.9,0,0,0,1.3,6.6,6.7,6.7,8/13/2024,8/14/2024
2,12,300.3,0,0,0,1,6.6,6.5,6.6,8/13/2024,8/14/2024
2,11,240.2,0,0,0,1.2,7.3,7.1,7.2,8/13/2024,8/14/2024
3,1,174.4,0,0,0,1,7.1,7.1,7.1,8/13/2024,8/14/2024
2,11,236,0,0,0,1,7.2,7.3,7.3,8/13/2024,8/14/2024
2,5,350.1,0,0,1,1,6.6,6.3,6.5,8/13/2024,8/14/2024
1,7,113.4,0,0,0,1,6.4,6.2,6.3,8/13/2024,8/14/2024
2,6,119.1,0,0,0,1.2,6.7,6.4,6.6,8/13/2024,8/14/2024
2,10,111.3,1,0,0,,,,,8/13/2024,8/14/2024
2,8,136.9,0,0,0,1.4,6.2,6.2,6.2,8/13/2024,8/14/2024
2,10,260.4,0,0,0,0.9,7.3,7,7.2,8/13/2024,8/14/2024
2,9,106.2,0,0,0,0.9,7.7,7.2,7.5,8/13/2024,8/14/2024
2,9,198.9,0,0,0,0.1,6.7,6.8,6.8,8/13/2024,8/14/2024
2,7,144.7,0,0,0,0.3,6.9,6.9,6.9,8/13/2024,8/14/2024
2,9,201.3,0,0,0,1,5.8,6.3,6.1,8/13/2024,8/14/2024
2,7,118.6,0,0,0,1,6.4,6.4,6.4,8/13/2024,8/14/2024
2,12,79.4,1,0,0,,,,,8/13/2024,8/14/2024
2,10,166.4,0,0,0,0.9,7.4,7.4,7.4,8/13/2024,8/14/2024
2,12,147.5,0,0,0,1.1,8.6,8.2,8.4,8/13/2024,8/14/2024
2,7,166.6,0,0,0,0.9,7.4,7.2,7.3,8/13/2024,8/14/2024
3,2,154.3,0,0,0,1,6.6,6.6,6.6,8/13/2024,8/14/2024
2,8,300.3,0,0,0,1.1,6.5,6.3,6.4,8/13/2024,8/14/2024
2,9,198.1,0,0,0,1,6.7,6.5,6.6,8/13/2024,8/14/2024
2,11,182.6,0,0,0,1.5,7.3,7.6,7.5,8/13/2024,8/14/2024
4,11,176.7,0,0,0,0.9,6.2,6.2,6.2,8/13/2024,8/14/2024
4,8,190.9,0,0,0,1.4,6.2,6.3,6.3,8/13/2024,8/14/2024
4,5,343.8,0,0,0,1,7,6.6,6.8,8/13/2024,8/14/2024
4,5,219.4,0,0,0,0.9,6.8,6.5,6.7,8/13/2024,8/14/2024
4,6,136.7,0,0,0,1.1,7.7,7.4,7.6,8/13/2024,8/14/2024
4,8,198,0,0,0,1.2,6.9,5.8,6.4,8/13/2024,8/14/2024
4,5,290.1,0,0,0,1.1,6.4,6.6,6.5,8/13/2024,8/14/2024
4,8,215.9,0,0,0,0.2,7.4,7.5,7.5,8/13/2024,8/14/2024
4,7,145.2,0,0,0,1.5,7.4,7.4,7.4,8/13/2024,8/14/2024
4,6,81,0,0,0,1,7.5,7.4,7.5,8/13/2024,8/14/2024
4,8,128,0,0,0,1.1,6.8,6.7,6.8,8/13/2024,8/14/2024
4,6,116.7,1,1,0,,,,,8/13/2024,8/14/2024
3,11,185.4,0,0,0,1.4,6.8,6.1,6.5,8/13/2024,8/14/2024
3,9,232.9,0,0,0,1.4,6.7,6.5,6.6,8/13/2024,8/14/2024
3,9,122.5,0,0,0,1.5,6.3,6.3,6.3,8/13/2024,8/14/2024
3,6,319.1,0,0,0,0.9,5.8,5.6,5.7,8/13/2024,8/14/2024
3,5,329,0,0,0,1,6.7,6.7,6.7,8/13/2024,8/14/2024
4,5,84.7,0,0,0,1,6.9,6.2,6.6,8/13/2024,8/14/2024
3,7,159.3,0,0,0,1,6.5,6.5,6.5,8/13/2024,8/14/2024
3,6,260.9,0,0,0,1.2,5.6,6,5.8,8/13/2024,8/14/2024
3,9,130.1,0,0,0,1.4,6.4,6.3,6.4,8/13/2024,8/14/2024
3,8,134.9,0,0,0,1.4,6.7,6.3,6.5,8/13/2024,8/14/2024
3,5,203.6,0,0,0,1,7.3,6.5,6.9,8/13/2024,8/14/2024
3,9,99,0,0,0,1.5,6.7,6.5,6.6,8/13/2024,8/14/2024
3,9,153.5,0,0,0,1.4,7.1,6.9,7,8/13/2024,8/14/2024
4,4,201.2,0,0,0,0.9,8.1,8.1,8.1,8/13/2024,8/14/2024
3,9,215.6,0,0,0,1.4,6.1,5.8,6,8/13/2024,8/14/2024
3,7,155.9,0,0,0,0.6,6.7,6.6,6.7,8/13/2024,8/14/2024
3,11,206.5,0,0,0,1.4,7.8,7.5,7.7,8/13/2024,8/14/2024
1,7,291.6,0,0,1,0.4,5.5,6.2,5.9,8/13/2024,8/19/2024
1,7,200.7,0,0,0,,6.5,5.9,6.2,8/13/2024,8/19/2024
1,5,191.9,0,0,1,0.2,6.4,6.5,6.5,8/13/2024,8/19/2024
1,6,245.9,0,0,0,0.6,5.8,5.3,5.6,8/13/2024,8/19/2024
1,3,251.2,0,0,0,1,5.5,5.1,5.3,8/13/2024,8/19/2024
1,2,239.4,0,1,1,0.6,5.7,5.1,5.4,8/13/2024,8/19/2024
1,5,168.5,0,1,0,,5.6,5.3,5.5,8/13/2024,8/19/2024
1,11,197.8,0,1,1,0.2,5.9,6.3,6.1,8/13/2024,8/19/2024
1,6,221.8,0,0,0,0.8,6.1,6.1,6.1,8/13/2024,8/19/2024
1,6,165.6,0,0,0,0.6,5.4,5.5,5.5,8/13/2024,8/19/2024
1,5,204.3,0,1,1,0.6,6.4,6.1,6.3,8/13/2024,8/19/2024
1,5,135.2,0,0,0,0.7,6.3,6.3,6.3,8/13/2024,8/19/2024
1,5,237.8,0,0,0,1,6.1,6.1,6.1,8/13/2024,8/19/2024
1,3,243.8,0,1,1,0.9,6.8,5.5,6.2,8/13/2024,8/19/2024
1,1,325.7,0,0,0,0.8,5.3,5.1,5.2,8/13/2024,8/19/2024
1,1,258.2,0,0,0,1.1,5.9,5.6,5.8,8/13/2024,8/19/2024
1,1,312.7,1,0,0,0.3,6,6.3,6.2,8/13/2024,8/19/2024
1,1,193,0,0,0,0.2,5.8,5.4,5.6,8/13/2024,8/19/2024
2,1,183.5,0,0,0,0.6,5.8,5.4,5.6,8/15/2024,8/19/2024
3,6,200.6,0,0,0,1,5,4.9,5,8/15/2024,8/19/2024
3,6,245.3,0,0,1,0.8,4.7,4.7,4.7,8/15/2024,8/19/2024
2,1,170.8,0,0,0,0.3,5.3,4.6,5,8/15/2024,8/19/2024
4,2,120.6,0,0,0,1.4,6.3,5.7,6,8/15/2024,8/19/2024
4,4,222.3,0,0,0,1.6,6.8,7.1,7,8/15/2024,8/19/2024
4,2,92.6,0,0,0,1.2,4.6,4.4,4.5,8/15/2024,8/19/2024
2,9,139.7,0,0,0,1.2,6.6,6.6,6.6,8/15/2024,8/19/2024
4,5,47.9,0,0,0,1.1,6.3,6.3,6.3,8/15/2024,8/19/2024
4,2,124.8,1,0,0,1.7,2.5,3.5,3,8/15/2024,8/19/2024
2,1,272.1,0,0,1,0.5,4.3,4.4,4.4,8/15/2024,8/19/2024
2,11,137.4,0,0,0,1.1,7.1,8.2,7.7,8/15/2024,8/19/2024
4,8,115.6,0,0,0,0.9,5.3,5.2,5.3,8/15/2024,8/19/2024
3,5,163.3,0,0,0,0.1,6.7,5.8,6.3,8/15/2024,8/19/2024
4,9,258.6,0,0,0,1.6,5.4,5.6,5.5,8/15/2024,8/19/2024
2,9,139.7,0,0,0,1.4,6.7,6.7,6.7,8/15/2024,8/19/2024
1,12,159.6,0,1,1,0.9,7.4,6.7,7.1,8/15/2024,8/19/2024
4,5,65.5,0,0,0,1,5.7,5.5,5.6,8/15/2024,8/19/2024
3,4,140.7,0,0,0,1.4,6.9,6.9,6.9,8/15/2024,8/19/2024
2,11,73.8,0,1,1,0.5,5.6,6.2,5.9,8/15/2024,8/19/2024
3,11,204.3,0,0,0,1.1,6.8,6.9,6.9,8/15/2024,8/19/2024
4,2,45.9,0,0,0,0.9,,,,8/15/2024,8/19/2024
3,7,251.1,0,0,0,1.3,5.5,5.8,5.7,8/15/2024,8/19/2024
3,8,131.3,0,0,1,1.4,5.7,5.3,5.5,8/15/2024,8/19/2024
3,10,156.6,0,0,0,1.3,6.5,6.7,6.6,8/15/2024,8/19/2024
2,12,199,0,0,0,0.5,2.5,4.1,3.3,8/15/2024,8/19/2024
4,12,27.7,1,1,0,,,,,8/15/2024,8/19/2024
1,4,169,0,0,0,1.6,5.6,5.7,5.7,8/15/2024,8/19/2024
2,12,197.8,0,0,0,1,6.1,6,6.1,8/15/2024,8/19/2024
2,12,151.2,0,0,0,0.9,6.5,6.6,6.6,8/15/2024,8/19/2024
1,4,189.8,0,0,0,1.4,6.1,6.3,6.2,8/15/2024,8/19/2024
2,7,123,0,0,0,1.3,4.9,5.8,5.4,8/15/2024,8/19/2024
2,12,168.1,0,0,0,0.4,5.4,5.4,5.4,8/15/2024,8/19/2024
1,9,137.3,0,0,0,1,6.6,7.1,6.9,8/15/2024,8/19/2024
1,9,120.3,0,0,0,1,6.8,6.8,6.8,8/15/2024,8/19/2024
3,1,106.4,0,0,0,1.2,7.3,7.4,7.4,8/15/2024,8/19/2024
4,2,35.5,1,1,0,,,,,8/15/2024,8/19/2024
2,12,141.4,0,0,0,0.6,6.4,6.3,6.4,8/15/2024,8/19/2024
4,5,69.2,0,0,0,0.9,6.6,6.4,6.5,8/15/2024,8/19/2024
1,4,108.3,0,0,1,0.9,3.9,4.1,4,8/15/2024,8/19/2024
2,4,117.6,0,0,0,0.9,6.1,5.9,6,8/15/2024,8/19/2024
1,3,121.5,0,0,1,0.9,5.2,3.7,4.5,8/15/2024,8/19/2024
4,11,94.5,0,0,0,1.1,5.6,5.9,5.8,8/15/2024,8/19/2024
4,8,99.3,0,0,0,0.6,6.3,6.2,6.3,8/15/2024,8/19/2024
1,4,137.4,0,0,0,0.9,6.1,5.8,6,8/15/2024,8/19/2024
2,1,256.2,0,0,0,1.1,6.5,6.6,6.6,8/15/2024,8/19/2024
1,2,163.8,0,1,1,1.3,6.5,6.4,6.5,8/15/2024,8/19/2024
3,7,173.8,0,0,0,0.8,6.5,6.3,6.4,8/20/2024,8/21/2024
3,7,167.3,0,0,0,1.3,5.5,5.3,5.4,8/20/2024,8/21/2024
2,4,88.5,1,0,0,0.2,8.1,7.8,8,8/20/2024,8/21/2024
3,3,184.4,0,0,0,1.1,7,7,7,8/20/2024,8/21/2024
2,4,94.9,0,1,1,0.5,6.4,5.4,5.9,8/20/2024,8/21/2024
3,6,108.2,0,0,0,0.8,5.1,4.9,5,8/20/2024,8/21/2024
3,4,262.1,0,0,0,1.5,6.5,6.5,6.5,8/20/2024,8/21/2024
2,4,163.8,0,0,0,0.9,6.6,6.3,6.5,8/20/2024,8/21/2024
3,7,101.4,0,0,0,0.6,5.5,5.9,5.7,8/20/2024,8/21/2024
1,11,168.1,0,0,0,1,5.5,6,5.8,8/20/2024,8/21/2024
3,1,120.3,0,0,0,1.4,5.4,5.6,5.5,8/20/2024,8/21/2024
2,5,229,0,0,1,1.2,7,7,7,8/20/2024,8/21/2024
2,7,81.8,0,0,0,1,6,5.3,5.7,8/20/2024,8/21/2024
2,5,130,0,1,1,1,6.5,5.9,6.2,8/20/2024,8/21/2024
2,4,81.9,0,0,1,0.5,6.7,6.4,6.6,8/20/2024,8/21/2024
2,3,115.7,0,1,1,1.5,3.9,3.7,3.8,8/20/2024,8/21/2024
2,5,98.3,0,1,1,1.3,6.4,5.9,6.2,8/20/2024,8/21/2024
1,12,55.5,0,0,0,1,6.4,6.1,6.3,8/20/2024,8/21/2024
2,4,104.9,0,0,0,0.5,5.9,5.6,5.8,8/20/2024,8/21/2024
2,4,113.2,0,0,0,0.9,6.5,6.1,6.3,8/20/2024,8/21/2024
1,6,91.8,0,0,0,0.3,5.6,5.2,5.4,8/20/2024,8/21/2024
3,2,86,0,0,1,1.4,6.7,6.7,6.7,8/20/2024,8/21/2024
3,7,76,0,0,0,0.4,6.4,6.6,6.5,8/20/2024,8/21/2024
1,12,75.1,0,1,1,0.9,6.6,6.4,6.5,8/20/2024,8/21/2024
3,2,73,0,0,0,1.5,6.8,7,6.9,8/20/2024,8/21/2024
2,5,250.9,0,0,1,1.3,6.8,6.6,6.7,8/20/2024,8/21/2024
1,5,84.9,1,0,0,1.3,3.4,4.2,3.8,8/20/2024,8/21/2024
2,12,182,0,0,0,0.2,6.9,6.5,6.7,8/20/2024,8/21/2024
3,2,107.5,0,0,0,1.2,6.9,6.9,6.9,8/20/2024,8/21/2024
1,5,101.6,0,0,0,1.5,6.3,6.4,6.4,8/20/2024,8/21/2024
3,2,66.8,0,0,0,1.5,6.6,6.5,6.6,8/20/2024,8/21/2024
2,11,32.6,1,0,0,,,,,8/20/2024,8/21/2024
1,6,113.4,0,0,1,1,6.1,6.7,6.4,8/20/2024,8/21/2024
3,1,95.8,0,0,0,1.6,5.4,5.8,5.6,8/20/2024,8/21/2024
2,6,233.5,0,1,0,1.4,7.1,7.1,7.1,8/20/2024,8/21/2024
2,6,30.8,0,0,0,1.5,,,,8/20/2024,8/21/2024
2,7,100.3,0,0,0,1,7.1,6.8,7,8/20/2024,8/21/2024
1,11,103.3,0,1,1,0.5,5,4.8,4.9,8/20/2024,8/21/2024
3,1,137.1,0,0,1,1.4,6,5.8,5.9,8/20/2024,8/21/2024
2,8,152.2,0,0,1,1.4,6.4,6.3,6.4,8/20/2024,8/21/2024
1,5,81.5,0,0,0,2.1,4.1,3.8,4,8/20/2024,8/21/2024
2,6,128.9,0,0,0,1.2,7,7,7,8/20/2024,8/21/2024
1,5,115.5,0,0,0,1.6,5.4,5.5,5.5,8/20/2024,8/21/2024
3,3,64.6,0,0,0,1.1,7.1,7,7.1,8/20/2024,8/21/2024
2,11,117.8,0,0,0,1.4,7.8,8,7.9,8/20/2024,8/21/2024
2,10,145.1,0,0,1,1.3,7.4,7.3,7.4,8/20/2024,8/21/2024
1,9,111.3,1,0,1,1.6,5.2,5.2,5.2,8/20/2024,8/21/2024
2,11,140.7,0,0,0,1.5,7.4,7.5,7.5,8/20/2024,8/21/2024
1,5,109.2,0,1,1,1.9,4.9,4.8,4.9,8/20/2024,8/21/2024
2,11,117.6,0,0,0,1.1,7.6,7.5,7.6,8/20/2024,8/21/2024
1,5,118.9,0,0,0,2.5,4.3,4.4,4.4,8/20/2024,8/21/2024
2,8,121.3,0,0,1,1.3,6.5,6.5,6.5,8/20/2024,8/21/2024
2,5,102.3,0,0,0,1.1,6.9,6.8,6.9,8/20/2024,8/21/2024
1,7,107.2,0,1,1,1.5,4.3,4.4,4.4,8/20/2024,8/21/2024
1,2,200.9,0,1,1,1.2,4.9,5.6,5.3,8/20/2024,8/21/2024
2,6,71.6,0,0,0,1.3,7.2,7.1,7.2,8/20/2024,8/21/2024
2,6,54,0,0,0,1.7,6.9,6.8,6.9,8/20/2024,8/21/2024
1,5,107.2,1,0,0,1.6,4.1,3.6,3.9,8/20/2024,8/21/2024
2,6,71.4,0,0,0,1.6,6.9,6.9,6.9,8/20/2024,8/21/2024
1,3,132.4,0,0,1,1.2,4.1,4.7,4.4,8/20/2024,8/21/2024
2,7,59.4,0,0,0,1.1,7.2,7.1,7.2,8/20/2024,8/21/2024
2,10,73.7,0,0,0,1,7.6,6.9,7.3,8/20/2024,8/21/2024
1,3,78.6,0,0,0,1.2,4.3,4.2,4.3,8/20/2024,8/21/2024
1,2,212.1,0,1,1,1,4.8,4.6,4.7,8/20/2024,8/21/2024
2,2,183.5,0,0,0,0.5,5.6,5.5,5.6,8/20/2024,8/21/2024
4,9,245.7,0,0,1,1,6.9,6.5,6.7,8/20/2024,8/21/2024
1,7,69.1,0,1,1,1,6.4,5.9,6.2,8/20/2024,8/21/2024
4,9,163.5,0,0,0,1.5,7.1,7.1,7.1,8/20/2024,8/21/2024
4,9,211.4,0,0,1,1,6.7,6.8,6.8,8/20/2024,8/21/2024
1,4,83.1,0,0,0,1.4,6.1,5.5,5.8,8/20/2024,8/21/2024
4,11,132.6,0,0,0,1.1,6.5,6.5,6.5,8/20/2024,8/21/2024
1,2,75.3,0,0,1,2,4.6,4.6,4.6,8/20/2024,8/21/2024
4,10,114.2,0,0,0,1.5,6.7,6.6,6.7,8/20/2024,8/21/2024
4,12,88.7,0,0,0,1.4,8.2,7.9,8.1,8/20/2024,8/21/2024
2,4,78.6,1,1,0,,,,,8/20/2024,8/21/2024
2,2,100.3,0,0,0,0.5,6.6,5.2,5.9,8/20/2024,8/21/2024
2,6,35,1,1,0,,,,,8/20/2024,8/21/2024
4,10,151.3,0,0,0,1.5,6.1,6.2,6.2,8/20/2024,8/21/2024
4,10,130.2,0,0,1,2,6.2,6.2,6.2,8/20/2024,8/21/2024
1,4,131.3,0,1,1,1.4,5.2,4.6,4.9,8/20/2024,8/21/2024
4,11,75.5,0,0,1,1.5,7,7,7,8/20/2024,8/21/2024
4,7,50.8,0,0,0,1.3,3.7,3.1,3.4,8/20/2024,8/21/2024
4,7,30.9,0,0,0,1.1,6.9,6.9,6.9,8/20/2024,8/21/2024
4,2,41.7,0,0,0,0.2,6.9,6.8,6.9,8/20/2024,8/23/2024
4,7,125.9,0,0,0,1.3,7.4,8.1,7.8,8/20/2024,8/23/2024
1,6,95.4,0,0,0,1.4,6.2,6.9,6.6,8/20/2024,8/23/2024
4,7,83.5,0,0,0,1.6,7.5,8.4,8,8/20/2024,8/23/2024
4,6,152.6,0,0,0,1.5,7.3,7.9,7.6,8/20/2024,8/23/2024
4,7,121.1,0,0,0,1.2,7.3,8.4,7.9,8/20/2024,8/23/2024
4,7,122.2,0,0,0,1.1,7.5,8.5,8,8/20/2024,8/23/2024
4,6,124.4,0,0,0,1.3,7.4,8.3,7.9,8/20/2024,8/23/2024
3,11,29.1,1,1,0,,,,,8/20/2024,8/23/2024
4,4,40.7,1,1,0,,,,,8/20/2024,8/23/2024
4,1,135.1,0,1,1,1.1,7,7.6,7.3,8/20/2024,8/23/2024
4,3,107.7,0,0,0,1.2,6.7,7.4,7.1,8/20/2024,8/23/2024
